Standard,TMP,NTC
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.30
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.32
49.2,29.25,29.30
49.1,29.25,29.32
49.1,29.19,29.30
49.0,29.25,29.30
49.0,29.19,29.30
49.0,29.19,29.30
49.0,29.19,29.30
49.0,29.19,29.30
49.0,29.19,29.30
49.0,29.19,29.28
49.0,29.19,29.30
49.0,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.28
49.1,29.19,29.30
49.1,29.19,29.28
49.1,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.30
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.1,29.19,29.32
49.1,29.19,29.32
49.1,29.19,29.32
49.2,29.19,29.32
49.2,29.19,29.32
49.1,29.19,29.32
49.1,29.19,29.32
49.1,29.19,29.32
49.1,29.19,29.35
49.1,29.19,29.32
49.1,29.19,29.32
49.1,29.19,29.35
49.1,29.25,29.35
49.1,29.25,29.37
49.1,29.25,29.57
49.1,29.31,30.15
49.1,29.44,30.61
49.2,29.56,31.19
49.2,29.69,31.74
49.2,29.87,32.42
49.2,31.12,33.05
49.1,32.06,33.68
49.1,32.25,34.16
49.2,32.13,34.67
49.2,32.81,35.13
49.2,33.63,35.62
49.2,34.19,36.17
49.2,34.56,36.71
49.2,34.88,37.19
49.2,35.13,37.63
49.2,35.38,37.99
49.2,35.63,38.30
49.2,35.81,38.64
49.2,36.00,38.91
49.2,36.19,39.17
49.2,36.38,39.44
49.2,36.50,39.71
49.2,36.63,39.97
49.2,36.75,40.21
49.2,36.88,40.46
49.2,37.00,40.70
49.2,37.13,40.92
49.2,37.25,41.13
49.2,37.38,41.33
49.2,37.50,41.52
49.2,37.56,41.69
49.1,37.69,41.86
49.1,37.75,42.03
49.1,37.88,42.17
49.1,38.00,42.34
49.1,38.06,42.47
49.1,38.13,42.61
49.1,38.25,42.76
49.1,38.31,42.88
49.1,38.38,43.00
49.1,38.50,43.09
49.1,38.56,43.22
49.1,38.69,43.31
49.0,38.75,43.43
49.0,38.81,43.51
49.0,38.94,43.60
49.0,38.94,43.70
49.0,39.00,43.77
48.9,39.13,43.84
48.9,39.13,43.94
49.0,39.19,43.99
49.0,39.25,44.06
49.0,39.31,44.13
49.0,39.38,44.16
49.0,39.50,44.21
49.0,39.56,44.23
49.0,39.56,44.26
48.9,39.63,44.28
48.9,39.69,44.38
48.9,39.75,44.35
48.9,39.75,44.43
48.8,39.81,44.45
48.8,39.88,44.47
48.8,39.88,44.50
48.8,39.94,44.55
48.8,40.00,44.55
48.8,40.00,44.62
48.8,40.06,44.59
48.8,40.13,44.59
48.8,40.13,44.67
48.8,40.19,44.64
48.8,40.25,44.69
48.8,40.25,44.72
48.8,40.31,44.76
48.8,40.31,44.76
48.8,40.38,44.76
48.8,40.44,44.76
48.9,40.44,44.81
48.9,40.50,44.81
48.9,40.50,44.86
48.9,40.50,44.89
48.9,40.56,44.89
48.9,40.56,44.89
48.9,40.63,44.91
48.9,40.63,44.93
48.9,40.63,44.98
48.9,40.69,45.01
48.9,40.69,45.01
48.9,40.69,45.05
48.9,40.75,45.08
48.9,40.75,45.08
48.9,40.75,45.05
48.9,40.81,45.13
48.9,40.81,45.15
48.9,40.81,45.18
48.9,40.88,45.18
48.9,40.88,45.25
48.9,40.94,45.22
48.9,40.94,45.30
48.9,40.94,45.27
48.9,41.00,45.30
48.9,41.00,45.32
48.9,41.00,45.34
48.9,41.00,45.39
48.9,41.06,45.42
48.9,41.06,45.42
48.9,41.13,45.47
48.9,41.13,45.44
48.9,41.13,45.51
48.9,41.13,45.49
48.9,41.19,45.56
48.9,41.19,45.59
48.9,41.19,45.64
48.9,41.19,45.61
48.9,41.25,45.66
48.9,41.31,45.68
48.9,41.31,45.66
48.9,41.31,45.71
48.9,41.31,45.71
48.9,41.38,45.73
48.9,41.38,45.71
48.9,41.38,45.71
48.9,41.44,45.78
49.0,41.44,45.76
49.0,41.44,45.78
