Standard,TMP_Mean,TMP_Variance,TMP_Error,TMP_Accuracy,TMP_DNL,TMP_INL,NTC_Mean,NTC_Variance,NTC_Error,NTC_Accuracy,NTC_DNL,NTC_INL
25.0,24.544,0.003,-0.456,98.178,0.1,0.1,24.811,0.001,-0.189,99.244,0.087,0.087
25.1,24.64,0.003,-0.46,98.167,0.1,0.1,24.92,0.002,-0.18,99.283,0.111,0.089
25.2,24.7,0.0,-0.5,98.016,0.0,0.0,25.033,0.003,-0.167,99.339,0.113,0.088
25.3,24.81,0.005,-0.49,98.063,0.222,0.178,25.13,0.002,-0.17,99.328,0.111,0.089
25.4,24.91,0.001,-0.49,98.071,0.1,0.1,25.25,0.003,-0.15,99.409,0.111,0.089
25.5,25.05,0.003,-0.45,98.235,0.111,0.089,25.35,0.003,-0.15,99.412,0.111,0.089
25.6,25.14,0.003,-0.46,98.203,0.111,0.089,25.47,0.002,-0.13,99.492,0.111,0.089
25.7,25.21,0.001,-0.49,98.093,0.1,0.1,25.55,0.003,-0.15,99.416,0.111,0.089
25.8,25.35,0.003,-0.45,98.256,0.114,0.086,25.65,0.003,-0.15,99.419,0.114,0.086
25.9,25.41,0.001,-0.49,98.108,0.1,0.1,25.75,0.003,-0.15,99.421,0.111,0.089
26.0,25.54,0.003,-0.46,98.231,0.111,0.089,25.84,0.003,-0.16,99.385,0.111,0.089
26.1,25.63,0.002,-0.47,98.199,0.111,0.089,25.96,0.003,-0.14,99.464,0.1,0.1
26.2,25.71,0.001,-0.49,98.13,0.1,0.1,26.08,0.002,-0.12,99.542,0.1,0.1
26.3,25.838,0.003,-0.463,98.241,0.1,0.1,26.188,0.001,-0.113,99.572,0.1,0.1
26.4,25.922,0.002,-0.478,98.19,0.1,0.1,26.267,0.003,-0.133,99.495,0.113,0.088
26.5,26.03,0.005,-0.47,98.226,0.1,0.1,26.35,0.003,-0.15,99.434,0.1,0.1
26.6,26.122,0.002,-0.478,98.204,0.1,0.1,26.444,0.003,-0.156,99.415,0.1,0.1
26.7,26.2,0.0,-0.5,98.127,0.0,0.0,26.55,0.003,-0.15,99.438,0.111,0.089
26.8,26.289,0.004,-0.511,98.093,0.1,0.1,26.656,0.003,-0.144,99.461,0.112,0.087
26.9,26.4,0.0,-0.5,98.141,0.0,0.0,26.76,0.003,-0.14,99.48,0.111,0.089
27.0,26.53,0.002,-0.47,98.259,0.1,0.1,26.9,0.0,-0.1,99.63,0.0,0.0
27.1,26.6,0.0,-0.5,98.155,0.0,0.0,27.0,0.0,-0.1,99.631,0.0,0.0
27.2,26.689,0.001,-0.511,98.121,0.1,0.1,27.078,0.002,-0.122,99.551,0.1,0.1
27.3,26.744,0.003,-0.556,97.965,0.113,0.088,27.178,0.002,-0.122,99.552,0.1,0.1
27.4,26.88,0.002,-0.52,98.102,0.1,0.1,27.29,0.001,-0.11,99.599,0.1,0.1
27.5,26.956,0.003,-0.544,98.02,0.113,0.088,27.389,0.001,-0.111,99.596,0.1,0.1
